name,price,status,shipping,free_returns,items_sold
Yashica Electro 35 GSN 35mm Rangefinder Film Camera Body Only UNTESTED,4499,Pre-Owned,752,False,0
Olympus Trip AF 50 Point And Shoot Camera 28mm UNTESTED,5000,Parts Only,746,False,0
Black Canon AE1 AE-1 Program Film Camera Manual Focus Camera Body Only (no lens),25828,Very Good - Refurbished,,True,0
Nikon EM w/ SEIKANON MC Auto Zoom 75-200mm 1:4.5 Lens + Orignal Box + Extras,11995,Pre-Owned,757,True,0
Minolta XD-5 35mm Film Camera with Lens – Tested Works Great Condition With Lens,8000,Pre-Owned,1033,False,0
Nikon FE Silver 35mm SLR Film Camera Body [Almost MINT] From JAPAN,12900,Pre-Owned,2000,True,0
Yashica Black Electro 35 GSN Film Camera 45mm F/1.7 Lens And Case Rangefinder,999,Pre-Owned,1499,True,0
[As-Is] Minolta MAC-DUAL Quartz Date Point & Shoot Film Camera From JAPAN,5999,Pre-Owned,0,True,0
"Konica AUTOREFLEX TC 35mm Film Camera w/ Hexanon AR 50mm F1.7, Hanimex Flash Bag",5000,Pre-Owned,1375,False,0
Olympus Stylus Zoom 105 DLX 35mm Film Panorama Camera Works Bundle New Film [NM],14995,Pre-Owned,,True,0
[N MINT ] Canon EOS 7 ELAN 7E EOS7 35mm Black SLR Film Camera From JAPAN #7451,15999,Pre-Owned,6700,True,0
Mamiya ZE Quartz 35mm Film Camera w/ Mayima Sekor E 50mm Lens,6499,Pre-Owned,0,False,0
⭐ Nikon L35AF2 L35 AF2 Pikaichi 35mm Point and Shoot Film Camera ~ Serviced ⭐,18499,Pre-Owned,1699,True,0
OLYMPUS Stylus Zoom 35mm Film Camera Vintage Tested Manual Point 35-70mm Lens,4500,Pre-Owned,603,True,0
[N-MINT/Tested] Pentax Zoom 90 Point & Shoot 35mm Compact Film Camera From Japan,10099,Pre-Owned,1999,True,0
Vintage Nikon N2000 35mm SLR Film Camera Nikkor 50mm F/1.8 Lens Black Japan,5888,Pre-Owned,1288,True,0
Canon AE-1 35mm SLR Film Camera w/ 50mm 1.8 FL Lens. Tested. BUNDLE. ,22499,Pre-Owned,1041,False,0
"Nikon One Touch Zoom 90s 35mm Film Camera Quartz Date - Works, Flash Issue READ",2499,Parts Only,0,False,0
Canon Sure Shot 60 Zoom Date AF 35mm Point & Shoot Film Camera Tested & Working,8999,Pre-Owned,695,False,0
Olympus Trip 10 - 35mm Film Point & Shoot Camera-MADE IN JAPAN,2500,Pre-Owned,1195,True,0
Olympus Infinity Stylus AF 35mm Film Camera Point & Shoot,14400,Pre-Owned,0,False,0
Nikon EM camera w/  wide to telephoto Zoom lens - Bench Tested Well - Nice!,9500,Pre-Owned,1000,False,0
Minolta SRT Super Black 35mm SLR Film Camera Body Tested Exc+5 from Japan,13900,Pre-Owned,2500,True,0
Pentax Black ME 35mm SLR Camera Kit w/ 50mm Lens - Great student camera,19828,Very Good - Refurbished,,True,0
Olympus OM-1 OM-1n M-1 w/ optional fast 50mm f/1.4 kit in Chrome or Black,25828,Very Good - Refurbished,,True,0
Camera Canon T60 camera body original box accepts FD & FL manual focus lenses,11600,Pre-Owned,752,False,0
[NEAR MINT] Canon AF35ML Point & Shoot 35mm Film Camera From JAPAN,9999,Pre-Owned,2999,True,53
AS-IS Canon AE-1 Silver *For Parts or Repair Z1119,4499,Parts Only,900,True,0
Olympus Infinity Stylus Zoom 70 Quartzdate 35mm Point and Shoot Film Camera,12500,Pre-Owned,883,False,0
Konica C35 AF 38mm f2.8 35mm Point & Shoot Blue JAPAN [ N MINT w/ Strap & Case ],6499,Pre-Owned,5000,True,0
